,Name,Baseline_waterstress_total,Baseline_waterstress_Agricultural,Baseline_waterstress_Domestic,Baseline_waterstress_Industrial,Drought_severity_total,Drought_severity_Agricultural,Drought_severity_Domestic,Drought_severity_Industrial,Flood_occurence_total,Flood_occurence_Agricultural,Flood_occurence_Domestic,Flood_occurence_Industrial,Interannual_variability_total,Interannual_variability_Agricultural,Interannual_variability_Domestic,Interannual_variability_Industrial,Seasonal_variability_total,Seasonal_variability_Agricultural,Seasonal_variability_Domestic,Seasonal_variability_Industrial,water_acces_mean
22,East Timor,4.81,4.8,4.85,4.98,0.64,0.65,0.53,0.8,2.2,2.2,2.25,2.0,2.69,2.69,2.69,2.69,3.65,3.65,3.65,3.65,4.642828995
23,Iran,4.78,4.79,4.76,4.61,2.57,2.58,2.53,2.53,3.24,3.24,3.16,3.21,2.32,2.33,2.25,2.39,1.8,1.8,1.76,1.79,1.83588485
24,Yemen,4.67,4.69,4.63,3.92,1.74,1.73,1.79,1.62,2.94,2.94,2.87,2.75,4.94,4.95,4.9,4.85,2.37,2.37,2.33,2.02,5.0
25,Palestine,4.63,4.69,4.6,4.65,2.1,2.15,2.03,2.01,2.95,3.05,2.86,2.85,2.67,2.6,2.73,2.72,3.06,3.21,2.96,2.98,
26,Jordan,4.59,4.57,4.64,4.58,2.8,2.86,2.69,2.73,2.98,2.89,3.14,3.1,2.57,2.61,2.49,2.52,2.61,2.48,2.82,2.79,1.392240075
27,Lebanon,4.54,4.42,4.75,4.6,1.44,1.54,1.27,1.43,2.76,2.76,2.77,2.79,2.03,2.03,2.04,2.06,3.4,3.39,3.42,3.4,0.0
28,Somaliland,4.38,4.38,3.77,4.47,2.26,2.26,1.6,2.02,2.52,2.52,2.2,2.18,4.13,4.14,3.74,3.89,1.37,1.38,1.36,1.21,
29,Uzbekistan,4.32,4.29,4.53,4.53,2.57,2.56,2.57,2.64,2.74,2.72,2.89,2.96,2.22,2.22,2.25,2.2,3.16,3.15,3.22,3.27,3.360670585
30,Pakistan,4.31,4.33,4.14,4.12,2.48,2.48,2.39,2.4,3.87,3.87,3.88,3.89,2.37,2.37,2.47,2.43,2.67,2.67,2.65,2.72,2.763342455
31,Turkmenistan,4.3,4.3,4.13,4.35,2.62,2.64,2.4,2.17,1.77,1.78,1.43,1.63,2.41,2.42,2.34,2.24,1.82,1.83,1.63,1.66,
32,Morocco,4.24,4.28,3.99,4.01,2.14,2.17,2.01,1.91,2.9,2.91,2.86,2.8,3.12,3.1,3.2,3.18,2.12,2.11,2.22,2.17,3.8033694760000003
33,Mongolia,4.05,3.23,4.17,4.82,1.57,1.63,1.57,1.51,1.33,1.0,1.47,1.58,2.62,2.37,2.6,2.89,2.92,3.02,3.02,2.77,3.836082428
34,Kazakhstan,4.02,4.07,3.79,3.8,2.43,2.48,2.27,2.24,1.72,1.88,1.36,1.06,2.27,2.23,2.31,2.45,3.05,2.99,3.19,3.33,1.9198553719999998
35,Afghanistan,4.01,4.01,3.64,3.89,2.48,2.48,2.29,2.4,3.71,3.7,3.9,3.87,2.54,2.55,2.3,2.38,2.53,2.53,2.77,2.64,5.0
36,Lesotho,3.97,3.98,3.98,3.94,2.32,2.32,2.32,2.32,3.33,3.33,3.33,3.33,3.15,3.16,3.15,3.14,1.95,1.95,1.95,1.95,4.147677168
37,Syria,3.85,3.86,3.79,3.83,2.37,2.38,2.31,2.3,2.65,2.66,2.51,2.81,1.83,1.82,1.88,1.9,2.85,2.86,2.76,2.93,3.013997639
38,Spain,3.73,3.71,3.84,3.67,1.74,1.86,1.49,1.62,2.69,2.79,2.44,2.6,2.3,2.28,2.42,2.26,2.06,2.06,2.09,2.03,0.0
