,Country,rural_pop,urban_pop,HDI,r_u,r_u_access,pop_growth,mort_rate,GDP_pcp,life_ex
125,TJK,6514.203,2407.14,0.651,2.706200304095317,0.7164339419978518,2.4,32.8,2839.6,70.2
126,TON,82.993,25.027,0.717,3.316138570344028,0.9989969909729187,-0.12,15.0,5997.8,70.6
127,TTO,640.679,728.446,0.799,0.8795147478330583,1.0,0.58,17.8,28187.8,73.0
128,TUN,3616.197,7915.93,0.738,0.4568252877425647,0.932,1.0399999999999998,15.0,10492.0,76.0
129,TUR,20473.563,60271.457,0.805,0.3396891998147647,1.0,1.6599999999999997,11.4,25882.0,76.6
130,TZA,38367.191,18942.828,0.522,2.025420438806708,0.5893782383419689,3.0,40.8,2363.4,62.8
131,UGA,32920.646,9942.312,0.522,3.3111660547365642,0.793717277486911,3.5,39.4,2041.8,61.4
132,UKR,13600.408,30622.539,0.747,0.44413064507812366,1.024083769633508,-0.34,8.2,11921.0,71.2
133,USA,58215.947,266243.516,0.919,0.2186567690910452,0.987927565392354,0.6799999999999999,6.0,58237.6,79.0
134,UZB,15779.684,16130.957,0.707,0.9782236726562472,0.8213197969543148,1.6800000000000002,20.4,6037.2,70.8
135,VEN,3778.814,28198.251,0.735,0.1340088078512387,0.8200000000000001,0.019999999999999973,17.6,,72.6
136,VNM,61898.302,33642.498,0.69,1.8398842440296794,0.9778002018163472,1.04,17.2,6455.0,75.0
137,WSM,160.194,36.246,0.706,4.4196325111736465,1.0184615384615385,0.66,14.6,6120.0,72.8
138,YEM,18075.808,10174.612,0.463,1.7765599317202467,0.6458333333333334,2.58,43.0,,66.0
139,ZAF,19369.002,37348.154,0.704,0.5186066759818972,0.8172690763052209,1.52,28.6,12796.6,62.6
140,ZMB,9747.709,7346.421,0.589,1.3268650135896105,0.5992990654205608,3.06,46.6,3449.4,61.6
