,Country,WS_MDG,WUE_SDG,WS_SDG,Temp,Rain,IRWR,ERWR,TRWR,Dep_ratio,HDI,r_u,r_u_access,pop_growth,mort_rate,GDP_pcp,life_ex
48,ECU,2.2413652803,9.0289081079,6.7823529412,22.080744520547945,2197.8635,442.4,0.0,442.4,0.0,0.757,0.570598411136011,0.8083511777301927,1.6199999999999999,13.0,11792.6,76.2
49,EGY,111.652173913,4.3793207123,116.9398907104,23.557630821917808,33.393952500000005,1.0,56.5,57.5,0.9826086956521739,0.696,1.3416646213268948,0.99,2.2,20.0,10604.8,71.2
51,ESP,28.0035874439,35.9778306422,42.5685071575,14.287639267123286,597.64311,111.2,0.3,111.5,0.0026905829596412553,0.891,0.24875586614725062,1.0,-0.07999999999999999,3.0,37412.6,83.0
53,ETH,8.6459836066,4.3175479307,32.2571865443,23.598162534246576,903.7436950000001,122.0,0.0,122.0,0.0,0.467,3.9236828357802858,0.5220193340494093,2.7599999999999993,43.2,1779.6,65.0
54,FIN,5.9654545455,111.8047093322,15.5608252312,3.370409397260274,563.5564749999999,107.0,3.0,110.0,0.02727272727272727,0.924,0.1719926479263197,1.0,0.33999999999999997,2.0,45804.4,81.2
55,FJI,0.2973730298,40.9497071917,0.2973730298,24.38014808219178,2546.66605,28.55,0.0,28.55,0.0,0.721,0.7939898007298778,0.9165829145728643,0.3,20.6,12442.8,67.0
56,FRA,12.5289099526,83.6245175571,23.1427821063,11.920604787671234,844.6999750000001,200.0,11.0,211.0,0.052132701421800945,0.89,0.247195383940004,1.0,0.38,4.0,43708.4,82.6
57,GAB,0.0837951807,94.789870708,0.502166065,25.484383493150688,1740.9415625000001,164.0,2.0,166.0,0.012048192771084338,0.7,0.12389477282767225,0.6862139917695473,3.3,35.6,15330.4,64.8
58,GBR,5.7272108844,319.7364281786,14.3546462063,9.28962748630137,1279.1838,145.0,2.0,147.0,0.013605442176870748,0.919,0.20274563642139148,1.0,0.74,4.0,44793.6,81.0
60,GHA,2.5775800712,27.5775345799,6.3147340889,27.92357178082192,1106.66559,30.3,25.9,56.2,0.46085409252669035,0.591,0.8048355743840749,0.9071274298056156,2.2600000000000002,38.8,4743.2,62.6
61,GIN,0.2539823009,14.2306232806,0.8830769231,26.411752397260276,1721.656965,226.0,0.0,226.0,0.0,0.463,1.7938447072676964,0.727076591154261,2.4799999999999995,68.6,2173.2,59.6
62,GMB,1.27,10.3608805542,2.2096563723,28.144223698630135,1017.5695049999999,3.0,5.0,8.0,0.625,0.459,0.650204177187147,0.8959660297239915,3.0,40.0,2067.8,60.8
65,GRC,16.432748538,15.1861517774,22.73922719,14.866988671232876,710.1073799999999,58.0,10.4,68.4,0.15204678362573099,0.871,0.27025757728041194,1.0,-0.5399999999999999,4.0,28555.6,81.0
